No.,NAME_1,fully_vaccinated,Target pop above 18 years,% fully vaccinated
100.00%,Nairobi,43409300.00%,305249400.00%,14.20%
200.00%,Kiambu,11237400.00%,162354500.00%,6.90%
300.00%,Nyeri,5825000.00%,51002800.00%,11.40%
400.00%,Nakuru,5511500.00%,127326500.00%,4.30%
500.00%,Uasin Gishu,4705100.00%,69357000.00%,6.80%
600.00%,Mombasa,4099700.00%,80420200.00%,5.10%
700.00%,Kisumu,3540700.00%,65614700.00%,5.40%
800.00%,Kajiado,2678800.00%,66320100.00%,4.00%
900.00%,Machakos,2377400.00%,90517200.00%,2.60%
1000.00%,Murang'a,2354400.00%,67536400.00%,3.50%
1100.00%,Kakamega,2189100.00%,98283800.00%,2.20%
1200.00%,Nyandarua,2169200.00%,37677600.00%,5.80%
1300.00%,Meru,2055600.00%,94918600.00%,2.20%
1400.00%,Trans Nzoia,1803400.00%,51807700.00%,3.50%
1500.00%,Embu,1783200.00%,39598000.00%,4.50%
1600.00%,Kirinyaga,1623100.00%,41370800.00%,3.90%
1700.00%,Nandi,1540900.00%,49265200.00%,3.10%
1800.00%,Laikipia,1520600.00%,30644800.00%,5.00%
1900.00%,Bungoma,1409600.00%,84373500.00%,1.70%
2000.00%,Siaya,1278300.00%,53603100.00%,2.40%
2100.00%,Homa Bay,1176800.00%,60832600.00%,1.90%
2200.00%,Kilifi,1138500.00%,78456700.00%,1.50%
2300.00%,Vihiga,1107200.00%,32931700.00%,3.40%
2400.00%,Migori,1100400.00%,55765700.00%,2.00%
2500.00%,Kitui,1082600.00%,62450600.00%,1.70%
2600.00%,Kisii,1060400.00%,69744500.00%,1.50%
2700.00%,Kericho,1027400.00%,50898000.00%,2.00%
2800.00%,Taita Taveta,1018500.00%,21333500.00%,4.80%
2900.00%,Nyamira,998700.00%,34139700.00%,2.90%
3000.00%,Makueni,961300.00%,58437900.00%,1.60%
3100.00%,Busia,896300.00%,46519000.00%,1.90%
3200.00%,Baringo,802800.00%,33893700.00%,2.40%
3300.00%,Bomet,682300.00%,46596300.00%,1.50%
3400.00%,Elgeyo-Marakwet,655600.00%,24369000.00%,2.70%
3500.00%,Narok,648700.00%,54822900.00%,1.20%
3600.00%,Tharaka-Nithi,642700.00%,24669900.00%,2.60%
3700.00%,Kwale,620300.00%,45126100.00%,1.40%
3800.00%,Turkana,404600.00%,46887800.00%,0.90%
3900.00%,Samburu,332800.00%,14560800.00%,2.30%
4000.00%,West Pokot,290600.00%,28372700.00%,1.00%
4100.00%,Mandera,252300.00%,34185700.00%,0.70%
4200.00%,Garissa,229600.00%,39935800.00%,0.60%
4300.00%,Wajir,205400.00%,33729600.00%,0.60%
4400.00%,Isiolo,198200.00%,13335800.00%,1.50%
4500.00%,Marsabit,88300.00%,21917000.00%,0.40%
4600.00%,Tana River,86600.00%,15105100.00%,0.60%
4700.00%,Lamu,77500.00%,8343300.00%,0.90%
